"","name","n_in","complete","teval_lik","pkg","n_out","ny_out","nx_out","teval_pred","teval_var","teval_both"
"280","treed_5440",5440,TRUE,NA,"gstat",22008833,4081,5393,NA,NA,NA
"281","treed_21632",21632,TRUE,0.0185341,"snapKrig",88,8,11,0.0031251,0.0079802,0.0111053
"282","treed_21632",21632,TRUE,0.0185341,"snapKrig",352,16,22,0.0036579,0.0212272,0.0248851
"283","treed_21632",21632,TRUE,0.0185341,"snapKrig",1376,32,43,0.0050901,0.0950271,0.1001172
"284","treed_21632",21632,TRUE,0.0185341,"snapKrig",5440,64,85,0.0124283,1.4693248,1.4817531
"285","treed_21632",21632,TRUE,0.0185341,"snapKrig",21632,128,169,0.0538552,10.3793719,10.4332271
"286","treed_21632",21632,TRUE,0.0185341,"snapKrig",86528,256,338,0.0802863,25.7283853,25.8086716
"287","treed_21632",21632,TRUE,0.0185341,"snapKrig",344925,511,675,0.1521379,NA,NA
"288","treed_21632",21632,TRUE,0.0185341,"snapKrig",1377329,1021,1349,0.491368,NA,NA
"289","treed_21632",21632,TRUE,0.0185341,"snapKrig",5504577,2041,2697,2.2083111,NA,NA
"290","treed_21632",21632,TRUE,0.0185341,"snapKrig",22008833,4081,5393,7.9473814,NA,NA
